ID,SMILES,STATUS,REASONS,논문근거,MW,LogP,TPSA,HBD,HBA,QED,RotB,Lipinski_violations
ether_direct__ref_3cn_2f,N#Cc1cc(F)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__3cn_4f,N#Cc1cc(F)ccc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__3cn_5f,N#Cc1ccc(OC23CCC4(O)CC(CC(C4)C2)C3)cc1F,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__3cn_only,N#Cc1ccccc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,PMC6152672+EJMECH2022+Molecules2023,283.37,3.411,53.25,1,3,0.905,2,0
ether_direct__4cn_3f,N#Cc1cc(F)cc(OC23CCC4(O)CC(CC(C4)C2)C3)c1,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__2cn_4f,N#Cc1cc(OC23CCC4(O)CC(CC(C4)C2)C3)ccc1F,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__4cn_2f,N#Cc1ccc(OC23CCC4(O)CC(CC(C4)C2)C3)c(F)c1,PASS,—,PMC6152672+EJMECH2022+Molecules2023,301.36,3.55,53.25,1,3,0.909,2,0
ether_direct__3cn_cf2,N#Cc1cc(CC(F)F)ccc1OC12CCC3(O)CC(CC(C3)C1)C2,FAIL,LogP=4.22>4.2,PMC6152672+EJMECH2022+Molecules2023,347.41,4.218,53.25,1,3,0.887,4,0
ether_direct__sulfonyl_3cn,N#Cc1ccc(S(N)(=O)=O)c(OC23CCC4(O)CC(CC(C4)C2)C3)c1,FAIL,TPSA=113.41>95,PMC6152672+EJMECH2022+Molecules2023,362.45,2.058,113.41,2,5,0.854,3,0
ether_direct__3f_sulfonyl,NS(=O)(=O)c1ccc(F)cc1OC12CCC3(O)CC(CC(C3)C1)C2,PASS,—,PMC6152672+EJMECH2022+Molecules2023,355.43,2.326,89.62,2,4,0.871,3,0
